name-AREA
жизнь | продолжаться-Социальное обслуживание, социальная поддержка и защита граждан
поверь | в | себя-Социальное обслуживание, социальная поддержка и защита граждан
путь | память-Поддержка проектов в области культуры и искусства
помнить | и | чтить-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
гувернёрский | служба-Поддержка семьи, материнства, отцовства и детства
дорога | добро-Социальное обслуживание, социальная поддержка и защита граждан
дорога | катюша | продолжение-Развитие общественной дипломатии и поддержка соотечественников
туршкола-Социальное обслуживание, социальная поддержка и защита граждан
дневный | центр | для | человек | с | диагноз | деменция-Социальное обслуживание, социальная поддержка и защита граждан
стремиться | к | вершина-Охрана здоровья граждан, пропаганда здорового образа жизни
мобильный | межрайонный | реабилитационнопрофориентационный | центр | семья | особый | ребёнок | арт | техно-Поддержка семьи, материнства, отцовства и детства
играть | выздоравливать |  | проект | направить | на | выздоровление | ребёнок | находиться | на | лечение | в | больница | и | поддержка | они | семья-Охрана здоровья граждан, пропаганда здорового образа жизни
хотеть | учиться-Поддержка проектов в области науки, образования, просвещения
достойный | звание | герой-Сохранение исторической памяти
чтобы | помнить-Сохранение исторической памяти
улица | память-Сохранение исторической памяти
к | диалог | готовый-Поддержка проектов в области науки, образования, просвещения
профилактический | просветительский | проект | для | ребёнок | родитель | и | педагог | создавать | будущее | -Охрана здоровья граждан, пропаганда здорового образа жизни
центр | гуманитарный | помощь | семья | с | ребёнок | добрый | сердце | св | право | филарет | милостивый | с | новый | направление | добрый | дело-Поддержка семьи, материнства, отцовства и детства
правильный | выбор-Охрана здоровья граждан, пропаганда здорового образа жизни
восстановление | обелиск | земляк | пасть | в | великий | отечественный | война |  | год-Сохранение исторической памяти
к | семейный | жизнь | готовый-Поддержка семьи, материнства, отцовства и детства
устранять | преграда-Охрана здоровья граждан, пропаганда здорового образа жизни
мастерская | ремесло | бабушка | агафья-Поддержка проектов в области культуры и искусства
желать | мир | помнить | о | война-Сохранение исторической памяти
спорт |  | безграничный | возможность | доступный | весь-Социальное обслуживание, социальная поддержка и защита граждан
подарить | сельский | ребята | стадион-Охрана здоровья граждан, пропаганда здорового образа жизни
тахпахи |  | душа | народ | духовный | нематериальный | наследие | хакас-Укрепление межнационального и межрелигиозного согласия
марий | эл | флотский-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
день | ангела |  | фестиваль | малый | архитектурный | форма-Поддержка проектов в области культуры и искусства
заниматься | спорт | и | быть | здоровый-Охрана здоровья граждан, пропаганда здорового образа жизни
ресурсный | класс | для | ребёнок | с | раса | второй | год | обучение-Поддержка проектов в области науки, образования, просвещения
фестиваль | дубфест-Охрана окружающей среды и защита животных
по | след | герой | заоблачный | фронт-Охрана здоровья граждан, пропаганда здорового образа жизни
социальный | гостиная | семейный | причал-Поддержка семьи, материнства, отцовства и детства
учёт | и | увековечение | память | советский | воин | погибнуть | в | год | великий | отечественный | война | на | территория | бывший | восточный | пруссия | и | похоронить | на | мть-Сохранение исторической памяти
футбол |  | игра | для | весь-Охрана здоровья граждан, пропаганда здорового образа жизни
ретровечеринка | в | шесть | час | вечер | после | война-Социальное обслуживание, социальная поддержка и защита граждан
социальный | куратор | модель | индивидуальный | сопровождение | человек | с | тяжёлый | множественный | нарушение | развитие | в | психоневрологический | интернат-Социальное обслуживание, социальная поддержка и защита граждан
расширять | пространство-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
лаборатория | профессия | будущее-Поддержка проектов в области науки, образования, просвещения
кустовой | фестиваль | по | робототехника-Поддержка проектов в области науки, образования, просвещения
всероссийский | инклюзивный | молодёжный | образовательный | форум | без | граница | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
международный | театральный | фестиваль | новый | человек-Поддержка проектов в области культуры и искусства
международный | молодёжный | проект | горизонт | -Поддержка проектов в области науки, образования, просвещения
навигатор | общественный | здоровье-Охрана здоровья граждан, пропаганда здорового образа жизни
ресурсный | центр | терский | казачество-Поддержка проектов в области науки, образования, просвещения
творить | кино-Поддержка проектов в области науки, образования, просвещения
электронный | архивный | энциклопедия | россия |  | великий | архивный | держава-Поддержка проектов в области науки, образования, просвещения
школьный | практика | нко-Поддержка проектов в области науки, образования, просвещения
просветительский | программа | доступный | астрономия-Поддержка проектов в области науки, образования, просвещения
культурнопросветительский | десант | духовой | оркестр | победа | в | честь | летие | победа | в | великий | отечественный | война | духов | оркестр | кадетский | корп-Поддержка проектов в области науки, образования, просвещения
параарт-Поддержка проектов в области культуры и искусства
открытый | исследовательский | центр | по | этический | и | гуманитарный | проблема | техничёкий | образование | принцип | ответственность-Поддержка проектов в области науки, образования, просвещения
народный | игра | тува |  | ребёнок-Поддержка проектов в области науки, образования, просвещения
международный | конференция | разработчик | программный | обеспечение | secon |  | среда | для | профессиональный | самоопределение | молодой | специалист | студёный-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
молодёжный | сообщество | спортивный | танец | jumping | crew-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
духовный | и | культурный | просвещение | в | русло | древнерусский | церковный | традиция-Поддержка проектов в области науки, образования, просвещения
проект | ранний | профориентация | билет | в | будущее-Поддержка проектов в области науки, образования, просвещения
всероссийский | конкурс | профессиональный | долголетие | современный | педагог-Поддержка проектов в области науки, образования, просвещения
информационный | поддержка | молодёжный | некоммерческий | социальнозначить | культурный | проект | молодой | автор | в | весь | область | культура | и | искусство | пос-Поддержка проектов в области культуры и искусства
наставник | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
школа | квн | для | воспитанник | юхтинский | спецшкола | закрытый | тип-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
разработка | и | апробация | модель | социальный | волонтерство | в | московский | клинический | больница | для | взрослый | пациент | сила | доброволец | серебряный | воз-Развитие институтов гражданского общества
северокавказский | школа | вожатский | мастерство-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
национальный | школа | войлок | осетия-Поддержка проектов в области культуры и искусства
медиафорум | патриотический | организация | уфо | пусть | знать | весь | россия-Сохранение исторической памяти
игорево | поле |  | сохранять | прошлое | строить | будущее-Сохранение исторической памяти
рождество | в | никольский-Поддержка проектов в области культуры и искусства
спасти | и | сохранить |  | цифровизация | устнопоэтический | творчество | российский | глубинка-Поддержка проектов в области культуры и искусства
деловой | игра | стать | предприниматель-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
сотворение-Поддержка проектов в области культуры и искусства
социокультурный | лаборатория | артинклюзия | перезагрузка-Поддержка проектов в области науки, образования, просвещения
регби |  | ребёнок | белгородчин-Охрана здоровья граждан, пропаганда здорового образа жизни
школа | молодой | этнополитолог | в | республика | башкортостан-Поддержка проектов в области науки, образования, просвещения
школьный | телевидение | school | tv-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
молодёжный | ресурсный | центр-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
цифровизация | сельский | хозяйство-Поддержка проектов в области науки, образования, просвещения
вершина | мой | жизнь-Поддержка проектов в области культуры и искусства
урок | живой | история-Сохранение исторической памяти
модернизация | универсальный | авиатренажёр | пилот | сверхлёгкий | летательный | аппарат | с | использование | виртуальный | реальность | для | авиационный | школьный | с-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
социальный | хакатон-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
художественный | проект | нитьсимвол | человек-Поддержка проектов в области культуры и искусства
фестиваль | наука | и | техника-Поддержка проектов в области науки, образования, просвещения
инклюзивный | центр | поддержка | развитие | ребёнок | кладовая | радость-Поддержка проектов в области науки, образования, просвещения
школа | научный | доклад-Поддержка проектов в области науки, образования, просвещения
всероссийский | студенческий | турнир | физик-Поддержка проектов в области науки, образования, просвещения
готовить | достойный | смена-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
открытый | региональный | фестиваль | патриотический | песня | знамя | победа-Поддержка проектов в области культуры и искусства
мы | вместе | ради | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
сохранить | семья |  | сберечь | россия-Поддержка проектов в области науки, образования, просвещения
сберечь | для | будущий | время-Сохранение исторической памяти
создание | интерактивный | рекреационномузейный | комплекс | под | открытый | небо | белгородский | черта |  | муравский | шлях-Поддержка проектов в области культуры и искусства
память | ответственность | будущее-Сохранение исторической памяти
мы | помнить | тот | дорога | фронтовой | неизвестный | страница-Сохранение исторической памяти
на | путь | к | сдача | гто-Охрана здоровья граждан, пропаганда здорового образа жизни
гостеприимный | кавказ-Сохранение исторической памяти
долг | поколение-Сохранение исторической памяти
создание | музейный | экспозиция | и | мультимедийный | интернетпроект | смоленск | й-Сохранение исторической памяти
музей | дедушка | сорокин-Сохранение исторической памяти
служба | сопровождение | гражданский | инициатива | управление | изменение-Развитие институтов гражданского общества
фестиваль | фатьяновский | песня | в | город | ковров-Поддержка проектов в области культуры и искусства
интерактивный | футбол | для | весь-Охрана здоровья граждан, пропаганда здорового образа жизни
югорский | лёд |  | весь | собрать-Охрана здоровья граждан, пропаганда здорового образа жизни
профилактика | эмоциональный | выгорание | второе | дыхание-Охрана здоровья граждан, пропаганда здорового образа жизни
нард | шашка | шахматы |  | интеллектуальный | спорт | для | весь-Охрана здоровья граждан, пропаганда здорового образа жизни
жить | чтобы | помнить-Сохранение исторической памяти
vii | международный | большой | севастопольский | благотворительный | офицерский | бал | бал | победа | посвящаться | летие | победа | в | великий | отечественный | война | день-Поддержка проектов в области культуры и искусства
окружный | стратегический | сессия | патриотический | организация | скфо | наш | победа-Сохранение исторической памяти
незабытый | старина | музейный | интерактивный | площадка | по | старообрядческий | культура-Поддержка проектов в области культуры и искусства
проект | профессиональный | поддержка | свой-Охрана здоровья граждан, пропаганда здорового образа жизни
канистерапия |  | как | пример | современный | адаптивный | физический | воспитание | ребёнок | с | ментальный | нарушение | в | рамка | программа | развитие | доступный | для | далее-Охрана здоровья граждан, пропаганда здорового образа жизни
главный | весь | здоровье | в | дом-Охрана здоровья граждан, пропаганда здорового образа жизни
проект | по | вовлечение | ребёнок | подросток | и | молодёжь | в | изучение | астрономия |  | касаться | звезда-Поддержка проектов в области науки, образования, просвещения
международный | фестиваль | военнопатриотический | песня | боевой | братство-Сохранение исторической памяти
передвижной | музейный | экспозиция | правда | о | война-Сохранение исторической памяти
дартс | точно | в | цель-Охрана здоровья граждан, пропаганда здорового образа жизни
дерябинский | ассамблея | межрегиональный | форум | исторический | городовзавод | урал | и | поволжье-Сохранение исторической памяти
развитие | системный | волонтерство | в | сфера | популяризация | донорство | кровь | на | база | проект | donorsearch-Охрана здоровья граждан, пропаганда здорового образа жизни
возрождение | сельский | жемчужина-Сохранение исторической памяти
молчать | нельзя | рассказывать | практика | память | о | эпоха | политический | репрессия-Сохранение исторической памяти
фронтовой | тетрадь-Сохранение исторической памяти
спортивный | ориентирование |  | спорт | для | здоровье-Охрана здоровья граждан, пропаганда здорового образа жизни
инклюзивный | театральный | школа | в | новосибирск | реабилитация | и | социализация | человек | с | ограниченный | возможность | здоровье | работа | над | создание | общество-Поддержка проектов в области культуры и искусства
волховский | рубеж-Сохранение исторической памяти
прыгнуть | выше | голова-Охрана здоровья граждан, пропаганда здорового образа жизни
путешествие | еда-Поддержка проектов в области культуры и искусства
интерактивный | музей | народный | память | и | слава | рузаевка-Сохранение исторической памяти
первый | национальный | артпространство | портал-Поддержка проектов в области культуры и искусства
наш | голос | школа | развитие | детсковзрослый | сообщество | на | база | программа | социальный | наставничество-Развитие институтов гражданского общества
доброта |  | основа | воспитание | урок | добро | в | школа-Поддержка проектов в области науки, образования, просвещения
волшебный | клиника | доктор | пилюлькин | к | врач | без | слеза-Охрана здоровья граждан, пропаганда здорового образа жизни
спортивнооздоровительный | проект | здравица | -Охрана здоровья граждан, пропаганда здорового образа жизни
запуск | культурнопросветительский | радио | вера | в | город | хантымансийск-Развитие институтов гражданского общества
наш | история-Сохранение исторической памяти
дорога | гражданский | война | в | сибирь-Сохранение исторической памяти
прикосновение | к | исторический | память | о | великий | победа | в | заполярье | для | слепой | и | слабовидящий | человек-Сохранение исторической памяти
зелёный | коридор |  | развитие | потенциал | нко | для | работа | с | потеряться | пациент | с | социальнозначимый | заболевание |  | вичинфекция | и | туберкулёз-Развитие институтов гражданского общества
этноворкшоп-Укрепление межнационального и межрелигиозного согласия
программа | вовлечение | молодёжь | в | деятельность | социально | ориентировать | некоммерческий | организация | от | молодёжный | инициатива | к | профессиональный | нко-Социальное обслуживание, социальная поддержка и защита граждан
особый | тур | проект | по | развитие | инклюзивный | туризм | в | екатеринбург | и | свердловский | область-Поддержка проектов в области науки, образования, просвещения
ресурсный | центр | сибирский | федеральный | округ | по | работа | с | подросток | и | молодёжь-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
арт | родник-Поддержка проектов в области культуры и искусства
международный | конкурс | юный | чтец | живой | классика-Поддержка проектов в области науки, образования, просвещения
счастливый | долголетие-Социальное обслуживание, социальная поддержка и защита граждан
иппотерапия |  | путь | к | здоровье-Охрана здоровья граждан, пропаганда здорового образа жизни
пункт | адаптация | и | интегрирование | мигрант | паим-Укрепление межнационального и межрелигиозного согласия
время | добрый | дело-Социальное обслуживание, социальная поддержка и защита граждан
близкий | к | мир-Укрепление межнационального и межрелигиозного согласия
проделка | вятский | печник-Поддержка проектов в области культуры и искусства
благотворительный | рождественский | ёлка | для | ребёнок | военнослужащий | и | сотрудник | весь | силовой | ведомство | россия-Сохранение исторической памяти
просветительский | образовательный | фильм | о | рождение | уникальный | история | и | современность | туристический | жемчужина | россия |  | национальный | парк | куршский-Поддержка проектов в области науки, образования, просвещения
лыжа | мечтыгор | равный | возможностейлагерь-Социальное обслуживание, социальная поддержка и защита граждан
инклюзивный | театральный | студия | восславить | победа-Сохранение исторической памяти
из | поход | с | знание-Поддержка проектов в области науки, образования, просвещения
медиа | старт | нко |  | поддержка | информационный | открытость | и | медиа | продвижение | некоммерческий | организация | владимирский | область-Развитие институтов гражданского общества
открытый | молодёжный | проект | этноволна-Укрепление межнационального и межрелигиозного согласия
народный | университет | повышение | эффективность | деятельность | тос-Развитие институтов гражданского общества
деловой | коммуникационный | играстратегия | счастливый | город-Развитие институтов гражданского общества
сервис | ресурсный | решение | для | нко-Развитие институтов гражданского общества
школа | глухой | экскурсовод | deafбашкортостан-Социальное обслуживание, социальная поддержка и защита граждан
разработка | концепция | создание | в | п | пинега | и | п | голубиный | пинежский | район | дестинация | способствовать | сохранение | и | восстановление | исторический | память-Сохранение исторической памяти
поддержка | доброволец | милосердие-Развитие институтов гражданского общества
музей | космонавт | вф | быковский-Сохранение исторической памяти
школа | инклюзивный | волонтёр |  | подготовка | волонтёрский | сообщество | для | реализация | инклюзивный | практика | в | регион-Социальное обслуживание, социальная поддержка и защита граждан
первый | полёт | создание | сеть | площадка | в | свердловский | область | для | двигательный | развитие | ребёнок | с | ограниченный | возможность | здоровье | дошкольный | и | млада-Охрана здоровья граждан, пропаганда здорового образа жизни
деревня | светлана |  | новый | возможность-Социальное обслуживание, социальная поддержка и защита граждан
псковский | международный | фестиваль | колокольный | звон | в | слава | равноапостольный | княгиня | ольга-Поддержка проектов в области культуры и искусства
творческий | школа | сад | музыка-Поддержка проектов в области культуры и искусства
развитие | служба | социальный | такси-Социальное обслуживание, социальная поддержка и защита граждан
плечо | к | плечо | с | профессионал | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
герой | наш | время | гордость | башкортостан-Сохранение исторической памяти
международный | студенческий | чемпионат | по | программирование | icpc |  | привлечение | региональный | вуз | россия | к | участие-Поддержка проектов в области науки, образования, просвещения
адаптивный | спорт | для | ребёнок | и | молодёжь | с | овз | кудо |  | сила | и | доброта-Охрана здоровья граждан, пропаганда здорового образа жизни
школа | наследие | екатеринбург-Сохранение исторической памяти
второй | российский | клубный | фотоконкурс | берег-Поддержка проектов в области культуры и искусства
межрегиональный | форум | молодёжь | тайга-Укрепление межнационального и межрелигиозного согласия
на | нива | служение | общество-Развитие институтов гражданского общества
благотворительный | акция | белый | цветок-Социальное обслуживание, социальная поддержка и защита граждан
образовательный | проект | форум | организатор | военноисторический | лагерь-Сохранение исторической памяти
парк | музейный | профессия | -Поддержка проектов в области культуры и искусства
современный | форма | и | метод | формирование | позитивный | интерес | человек | старший | поколение | и | создание | новый | образ | российский | пенсионер-Социальное обслуживание, социальная поддержка и защита граждан
мы |  | разный | мыравный | открытый | мир-Социальное обслуживание, социальная поддержка и защита граждан
чистый | родник | алтай-Поддержка проектов в области науки, образования, просвещения
поддержка | и | развитие | сеть | бесплатный | юридический | помощь | многодетный | семья | в | республика | крым | семейный | юрист-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
театральный | лаборатория | для | молодой | драматург | чехов | non | fiction-Поддержка проектов в области культуры и искусства
актуализация | самоактивность | ребёнок | подросток | и | молодёжь | тыдыщ-Социальное обслуживание, социальная поддержка и защита граждан
главный | в | жизнь | профессия-Социальное обслуживание, социальная поддержка и защита граждан
социальнореабилитационный | центр | для | оказание | комплексный | преемственный | помощь | осудить | освободиться | из | место | лишение | свобода | продолжение-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
спорт | доступный | каждый-Охрана здоровья граждан, пропаганда здорового образа жизни
мост | единый | межведомственный | и | межтерриториальный | пространство | для | ресоциализация | несовершеннолетний | правонарушитель-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
 | служба | обеспечение | мобильность | слепой-Социальное обслуживание, социальная поддержка и защита граждан
развитие | сеть | нко | осуществлять | деятельность | в | сфера | профилактика | аборт-Социальное обслуживание, социальная поддержка и защита граждан
сохранить | история | вместе-Сохранение исторической памяти
йог | для | человек | с | синдром | даун | и | член | они | семья | три | поколение-Социальное обслуживание, социальная поддержка и защита граждан
великий | война |  | великий | победа-Сохранение исторической памяти
артдеревня | учм |  | летний | отдых | воспитанник | и | выпускник | интернат | ребёнок | и | взрослый | с | особый | нужда-Поддержка проектов в области культуры и искусства
школа | медиакоммуникация | для | этнокультурный | нко-Укрепление межнационального и межрелигиозного согласия
информационнопросветительский | youtubeканал | с | образовательный | элемент | faithfiction-Укрепление межнационального и межрелигиозного согласия
профессия |  | больничный | волонтёр-Социальное обслуживание, социальная поддержка и защита граждан
